% TITLE: Pre-processed output of Malcious Mining for Classification 
% Collected using the Malicous Crawler 

@RELATION MaliciousMining 

@ATTRIBUTE id NUMERIC 
@ATTRIBUTE url_length NUMERIC 
@ATTRIBUTE https_used {0,1} 
@ATTRIBUTE document_length NUMERIC 
@ATTRIBUTE re_direction {0,1} 
@ATTRIBUTE cloaking {0,1} 
@ATTRIBUTE javascript_length NUMERIC 
@ATTRIBUTE no_eval NUMERIC 
@ATTRIBUTE no_document_writes NUMERIC 
@ATTRIBUTE maliciousness_found {YES,NO} 

@DATA 

1439,23,0,31665,0,0,11981,0,0,NO
1440,23,0,66988,0,0,21526,1,1,NO
1441,26,0,74044,0,0,13489,2,0,NO
1442,20,0,3269,0,0,790,0,0,NO
1443,24,0,31665,0,0,11981,0,0,NO
1444,28,0,31665,0,0,11981,0,0,NO
1445,32,0,28521,0,0,11999,0,0,NO
1446,43,0,29295,0,0,12215,0,0,NO
1447,63,0,29561,0,0,12328,0,0,NO
1448,48,0,29738,0,0,12239,0,0,NO
1449,35,0,32050,0,0,12014,0,0,NO
1450,69,0,35043,0,0,12361,0,0,NO
1451,66,0,33639,0,0,12333,0,0,NO
1452,73,0,28276,0,0,12368,0,0,NO
1453,46,0,29260,0,0,12067,0,0,NO
1454,24,0,1297,0,0,500,0,0,NO
1455,28,0,1561,0,0,588,0,0,NO
1456,34,0,31035,0,0,12010,0,0,NO
1457,58,0,30837,0,0,14402,0,0,NO
1458,63,0,29396,0,0,12318,0,0,NO
1459,37,0,31992,0,0,13789,0,6,NO
1460,118,1,60496,0,0,31426,2,0,NO
1461,54,0,56063,0,0,30162,0,75,NO
1462,52,0,12940,0,0,7979,0,0,NO
1463,23,0,60511,0,0,31450,2,0,NO
1464,39,0,10783,0,0,2722,0,1,NO
1465,41,0,69221,0,0,24511,1,1,YES
1466,40,0,43194,0,0,2741,0,0,NO
1467,38,0,31558,0,0,2741,0,0,NO
1468,23,0,141907,0,0,59157,0,1,NO
1469,36,0,83521,0,0,26561,1,2,YES
1470,35,0,108054,0,0,11741,0,2,NO
1471,25,0,35278,0,0,7334,0,1,NO
1472,32,0,63131,0,0,9004,0,0,NO
1473,22,0,12460,0,0,4781,0,2,NO
1474,19,0,65494,0,0,3309,0,0,NO
1475,28,0,29800,0,0,7006,1,1,YES
1476,84,0,16686,0,0,1252,0,0,NO
1477,82,0,16686,0,0,1252,0,0,NO
1478,104,0,16686,0,0,1252,0,0,NO
1479,55,0,47577,0,0,13431,1,1,YES
1480,63,0,47650,0,0,13450,1,1,YES
1481,59,0,47191,0,0,13436,1,1,YES
1482,64,0,48307,0,0,13446,1,1,YES
1483,59,0,48188,0,0,13442,1,1,YES
1484,54,0,48780,0,0,13435,1,1,YES
1485,64,0,47243,0,0,13452,1,1,YES
1486,59,0,47920,0,0,13436,1,1,YES
1487,55,0,16686,0,0,1252,0,0,NO
1488,54,0,16686,0,0,1252,0,0,NO
1489,54,0,16686,0,0,1252,0,0,NO
1490,58,0,16688,0,0,1252,0,0,NO
1491,59,0,16686,0,0,1252,0,0,NO
1492,55,0,16686,0,0,1252,0,0,NO
1493,57,0,16686,0,0,1252,0,0,NO
1494,58,0,16686,0,0,1252,0,0,NO
1495,35,0,8962,0,0,767,0,0,NO
1496,51,0,16688,0,0,1252,0,0,NO
1497,57,0,16686,0,0,1252,0,0,NO
1498,57,0,16686,0,0,1252,0,0,NO
1499,59,0,16686,0,0,1252,0,0,NO
1500,57,0,16686,0,0,1252,0,0,NO
1501,54,0,16688,0,0,1252,0,0,NO
1502,50,0,16686,0,0,1252,0,0,NO
1503,49,0,16686,0,0,1252,0,0,NO
1504,53,0,16686,0,0,1252,0,0,NO
1505,52,0,16688,0,0,1252,0,0,NO
1506,55,0,16686,0,0,1252,0,0,NO
1507,54,0,16686,0,0,1252,0,0,NO
1508,58,0,16686,0,0,1252,0,0,NO
1509,52,0,16686,0,0,1252,0,0,NO
1510,51,0,16686,0,0,1252,0,0,NO
1511,52,0,16688,0,0,1252,0,0,NO
1512,53,0,16686,0,0,1252,0,0,NO
1513,52,0,16688,0,0,1252,0,0,NO
1514,55,0,16686,0,0,1252,0,0,NO
1515,53,0,16688,0,0,1252,0,0,NO
1516,56,0,16686,0,0,1252,0,0,NO
1517,65,0,16686,0,0,1252,0,0,NO
1518,53,0,16686,0,0,1252,0,0,NO
1519,52,0,16688,0,0,1252,0,0,NO
1520,52,0,16686,0,0,1252,0,0,NO
1521,51,0,16686,0,0,1252,0,0,NO
1522,49,0,16686,0,0,1252,0,0,NO
1523,50,0,16688,0,0,1252,0,0,NO
1524,53,0,16686,0,0,1252,0,0,NO
1525,52,0,16686,0,0,1252,0,0,NO
1526,51,0,16686,0,0,1252,0,0,NO
1527,53,0,16688,0,0,1252,0,0,NO
1528,54,0,16686,0,0,1252,0,0,NO
1529,58,0,16686,0,0,1252,0,0,NO
1530,53,0,16686,0,0,1252,0,0,NO
1531,50,0,16686,0,0,1252,0,0,NO
1532,53,0,16686,0,0,1252,0,0,NO
1533,54,0,16686,0,0,1252,0,0,NO
1534,53,0,16688,0,0,1252,0,0,NO
1535,56,0,16686,0,0,1252,0,0,NO
1551,24,0,501,0,0,285,0,0,NO
1629,52,0,16686,0,0,1252,0,0,NO
1630,59,0,16688,0,0,1252,0,0,NO
1631,57,0,16686,0,0,1252,0,0,NO
1632,53,0,16686,0,0,1252,0,0,NO
1633,58,0,16686,0,0,1252,0,0,NO
1634,55,0,16688,0,0,1252,0,0,NO
1635,55,0,16686,0,0,1252,0,0,NO
1636,51,0,16688,0,0,1252,0,0,NO
1637,53,0,16686,0,0,1252,0,0,NO
1638,49,0,16686,0,0,1252,0,0,NO
1639,53,0,16686,0,0,1252,0,0,NO
1640,62,0,16686,0,0,1252,0,0,NO
1641,59,0,16688,0,0,1252,0,0,NO
1642,57,0,16686,0,0,1252,0,0,NO
1643,58,0,16686,0,0,1252,0,0,NO
1644,56,0,16686,0,0,1252,0,0,NO
1645,58,0,16686,0,0,1252,0,0,NO
1646,62,0,16686,0,0,1252,0,0,NO
1647,61,0,16686,0,0,1252,0,0,NO
1648,59,0,16686,0,0,1252,0,0,NO
1649,58,0,16686,0,0,1252,0,0,NO
1650,50,0,16686,0,0,1252,0,0,NO
1651,50,0,16688,0,0,1252,0,0,NO
1652,50,0,16686,0,0,1252,0,0,NO
1653,50,0,16686,0,0,1252,0,0,NO
1654,50,0,16686,0,0,1252,0,0,NO
1655,50,0,16686,0,0,1252,0,0,NO
1656,50,0,16688,0,0,1252,0,0,NO
1657,50,0,16688,0,0,1252,0,0,NO
1658,50,0,16686,0,0,1252,0,0,NO
1659,50,0,16686,0,0,1252,0,0,NO
1660,33,0,25764,0,0,2598,0,0,NO
1661,37,0,30690,0,0,2598,0,0,NO
1662,46,0,20794,0,0,2741,0,0,NO
1663,42,0,16090,0,0,3389,0,0,NO
1664,41,0,18859,0,0,2598,0,0,NO
1665,24,0,36167,0,0,13804,0,2,NO
1666,20,0,35636,0,0,7694,0,1,NO
1667,23,0,14044,0,0,753,0,0,NO
1668,42,0,22072,0,0,3903,0,0,NO
1669,51,0,43194,0,0,2741,0,0,NO
1670,22,0,141908,0,0,59157,0,1,NO
1671,27,0,34480,0,0,4944,0,4,NO
1672,27,0,16336,0,0,664,0,0,NO
1673,40,0,70696,0,0,24533,1,1,YES
1674,48,0,31834,0,0,972,0,1,NO
1675,45,0,19056,0,0,2741,0,0,NO
1676,27,0,3269,0,0,790,0,0,NO
1677,39,0,2097,0,0,448,0,0,NO
1678,122,1,60496,0,0,31414,2,0,NO
1679,64,0,30354,0,0,12448,0,0,NO
1680,77,0,31682,0,0,12525,0,0,NO
1681,61,0,29062,0,0,12433,0,0,NO
1682,133,1,60567,0,0,31448,2,0,NO
1683,105,0,28767,0,0,12672,0,0,NO
1684,118,0,29250,0,0,12749,0,0,NO
1685,102,0,29124,0,0,12657,0,0,NO
1686,153,1,60639,0,0,31460,2,0,NO
1687,74,0,34832,0,0,12498,0,0,NO
1688,87,0,28883,0,0,12575,0,0,NO
1689,71,0,28751,0,0,12483,0,0,NO
1690,138,1,60600,0,0,31466,2,0,NO
1691,125,1,60519,0,0,31428,2,0,NO
1692,159,1,60677,0,0,31480,2,0,NO
1693,156,1,60670,0,0,31482,2,0,NO
1694,163,1,60677,0,0,31468,2,0,NO
1695,25,0,501,0,0,285,0,0,NO
1696,29,0,1561,0,0,588,0,0,NO
1697,136,1,60542,0,0,31418,2,0,NO
1698,124,1,60518,0,0,31430,2,0,NO
1699,30,0,71,0,0,0,0,0,NO
1700,34,0,71,0,0,0,0,0,NO
1701,40,0,71,0,0,0,0,0,NO
1702,48,0,177,0,0,0,0,0,NO
1703,148,1,60638,0,0,31462,2,0,NO
1704,77,0,29677,0,0,12515,0,0,NO
1705,90,0,31682,0,0,12592,0,0,NO
1706,74,0,28760,0,0,12500,0,0,NO
1707,153,1,60663,0,0,31484,2,0,NO
1708,47,0,3326,0,0,0,0,0,NO
1709,51,0,31204,0,0,14125,0,6,NO
1710,127,1,60541,0,0,31444,2,0,NO
1711,57,1,28181,0,0,7283,0,0,NO
1712,135,1,11883,0,0,5894,0,0,NO
1713,44,1,161,0,0,0,0,0,NO
1714,44,0,28895,0,0,7011,0,0,NO
1715,80,0,27729,0,0,12406,0,0,NO
1716,80,0,27729,0,0,12406,0,0,NO
1717,80,0,27728,0,0,12405,0,0,NO
1718,79,0,27729,0,0,12406,0,0,NO
1719,64,0,55685,0,0,30162,0,75,NO
1720,144,1,60614,0,0,31454,2,0,NO
1721,25,1,60491,0,0,31430,2,0,NO
1760,87,0,16686,0,0,1252,0,0,NO
1761,91,0,16686,0,0,1252,0,0,NO
1762,93,0,16686,0,0,1252,0,0,NO
1864,38,0,74044,0,0,13489,2,0,NO
1865,38,0,74044,0,0,13489,2,0,NO
1866,39,0,74044,0,0,13489,2,0,NO
1867,29,0,76949,0,0,13293,2,0,NO
1868,73,0,79610,0,0,13557,2,0,NO
1869,32,0,81131,0,0,13296,2,0,NO
1870,34,0,80723,0,0,13299,2,0,NO
1871,31,0,75255,0,0,13295,2,0,NO
1872,35,0,73160,0,0,13299,2,0,NO
1873,38,0,69070,0,0,13302,2,0,NO
1874,39,0,83021,0,0,13303,2,0,NO
1875,43,0,104800,0,0,13307,2,0,NO
1876,38,0,89451,0,0,13302,2,0,NO
1877,38,0,82303,0,0,13302,2,0,NO
1878,34,0,76561,0,0,13298,2,0,NO
1879,27,0,74044,0,0,13489,2,0,NO
1880,37,0,219016,0,0,13310,2,0,NO
1881,38,0,75127,0,0,13303,2,0,NO
1882,42,0,78857,0,0,13306,2,0,NO
1883,43,0,65130,0,0,13306,2,0,NO
1884,37,0,64186,0,0,13300,2,0,NO
1885,38,0,63341,0,0,13301,2,0,NO
1886,39,0,65791,0,0,13302,2,0,NO
1887,38,0,64680,0,0,13301,2,0,NO
1888,41,0,81433,0,0,13305,2,0,NO
1889,37,0,64968,0,0,13300,2,0,NO
1890,36,0,65360,0,0,13299,2,0,NO
1891,39,0,64843,0,0,13302,2,0,NO
1892,42,0,63660,0,0,13305,2,0,NO
1893,39,0,65468,0,0,13302,2,0,NO
1894,41,0,70551,0,0,13305,2,0,NO
1895,38,0,66408,0,0,13302,2,0,NO
1896,36,0,74045,0,0,13300,2,0,NO
1897,39,0,72114,0,0,13303,2,0,NO
1898,38,0,79649,0,0,13302,2,0,NO
1899,42,0,65559,0,0,13305,2,0,NO
1900,39,0,72522,0,0,13303,2,0,NO
1901,40,0,72509,0,0,13304,2,0,NO
1902,41,0,63744,0,0,13304,2,0,NO
1903,37,0,70340,0,0,13301,2,0,NO
1904,37,0,74553,0,0,13301,2,0,NO
1905,40,0,78562,0,0,13304,2,0,NO
1906,35,0,72250,0,0,13299,2,0,NO
1907,41,0,65077,0,0,13305,2,0,NO
1908,38,0,70080,0,0,13302,2,0,NO
1909,38,0,63571,0,0,13301,2,0,NO
1910,38,0,68392,0,0,13302,2,0,NO
1911,32,0,74044,0,0,13489,2,0,NO
1912,49,0,76906,0,0,13329,2,0,NO
1913,49,0,70043,0,0,13329,2,0,NO
1914,51,0,77643,0,0,13331,2,0,NO
1915,69,0,78217,0,0,13553,2,0,NO
1916,71,0,72027,0,0,13559,2,0,NO
1917,71,0,71069,0,0,13560,2,0,NO
1918,73,0,71659,0,0,13565,2,0,NO
1919,28,0,188242,0,0,25691,0,3,NO
1920,31,0,54886,0,0,13290,2,0,NO
1921,40,0,20001,0,0,15657,0,0,NO
1922,30,0,23008,0,0,15235,0,0,NO
1923,37,0,74864,0,0,13299,2,0,NO
1924,39,0,68658,0,0,13325,2,0,NO
1925,35,1,803459,0,0,471340,0,0,NO
1926,30,1,212317,0,0,3465,0,0,NO
1927,29,0,50652,0,0,6360,0,1,NO
1928,35,1,318126,0,0,137909,0,0,NO
1929,31,0,196950,0,0,195145,0,0,NO
1930,67,1,217228,0,0,8475,0,0,NO
1931,43,0,53729,0,0,13321,2,0,NO
1932,32,0,55643,0,0,13295,2,0,NO
1933,77,0,123338,0,0,29772,2,0,NO
1934,93,0,166308,0,0,30880,2,0,NO
1935,73,0,89811,0,0,16021,2,0,NO
1936,62,0,114664,0,0,32497,2,0,NO
1937,63,0,111691,0,0,27844,2,0,NO
1938,118,0,91658,0,0,16054,2,0,NO
1939,73,0,111022,0,0,26252,2,0,NO
1940,85,0,115017,0,0,28943,2,0,NO
1941,95,0,98974,0,0,15867,2,0,NO
1942,50,0,114618,0,0,29396,2,0,NO
1943,103,0,88578,0,0,16286,2,0,NO
1944,48,0,109294,0,0,28973,2,0,NO
1945,56,0,113145,0,0,27437,2,0,NO
1946,64,0,114366,0,0,28390,2,0,NO
1947,53,0,107055,0,0,24614,2,0,NO
